id,name
auto,Auto
animation,Animation
business,Business
classic,Classic
comedy,Comedy
cooking,Cooking
culture,Culture
documentary,Documentary
education,Education
entertainment,Entertainment
family,Family
general,General
kids,Kids
legislative,Legislative
lifestyle,Lifestyle
movies,Movies
music,Music
news,News
outdoor,Outdoor
relax,Relax
religious,Religious
series,Series
science,Science
shop,Shop
sports,Sports
travel,Travel
weather,Weather
xxx,XXX
