id,name,alt_names,network,owners,country,categories,is_nsfw,launched,closed,replaced_by,website
1730SAT1Bayern.de,17:30 SAT.1 Bayern,,,,DE,news,FALSE,,,,https://www.sat1.de/serien/regional-bayern
1730SAT1LIVE.de,17:30 SAT.1 LIVE,,,,DE,news,FALSE,,,,http://www.1730live.de/
1730SAT1REGIONALHamburgSchleswigHolstein.de,17:30 SAT.1 REGIONAL Hamburg & Schleswig-Holstein,17:30 SAT.1 REGIONAL Hamburg und Schleswig-Holstein,,,DE,news,FALSE,,,,https://www.sat1regional.de/livestream-hamburg/
1730SAT1REGIONALLowerSaxonyBremen.de,17:30 SAT.1 REGIONAL Lower Saxony & Bremen,17:30 SAT.1 REGIONAL Niedersachsen und Bremen,,,DE,news,FALSE,,,,https://www.sat1regional.de/livestream-niedersachsen-und-bremen/
18Channel.cn,18 Channel,十八频道,,,CN,kids,FALSE,1997-06-18,,,http://www.nbs.cn/live/
192TV.nl,192TV,,,BR Music BV,NL,music,FALSE,2010-07-29,,,http://www.192tv.tv/
1AlmereTV.nl,1AlmereTV,,,,NL,general,FALSE,,,,https://www.1almere.nl/
1FLTV.li,1FL TV,,,Beatrix Schartl,LI,general,FALSE,2008-08-15,,,https://1fl.li/wp/
1FSTV.za,1FSTV,1 Free State Televisual,,,ZA,entertainment,FALSE,,,,https://1freestatetv.co.za/
1HDMusicTelevision.ru,1HD Music Television,Музыка Первого,,,RU,music,FALSE,,,,https://1hd.ru/
1KBR.ru,1 KBR,1 КБР,,,RU,general,FALSE,,,,http://1kbr.smikbr.ru/
1KZNTV.za,1KZN TV,,,,ZA,entertainment;family;general,FALSE,,,,http://www.1kzntv.co.za/
1Magic.za,1Magic,One Magic,,MultiChoice,ZA,entertainment,FALSE,,,,https://www.dstv.com/onemagic/en-za/home
1max.za,1max,,,,ZA,entertainment,FALSE,2024-04-01,,,
1NOMO.vu,1NOMO,,,Telsat Pacific,VU,entertainment,FALSE,,,,https://1nomo.telsat.vu/
1Plus1.ua,1+1,один плюс один,,1+1 Media Group,UA,general,FALSE,1997-01-01,,,https://1plus1.ua/
1Plus1International.ua,1+1 International,1+1 Інтернешнл,,1+1 Media Group,UA,general,FALSE,2006-03-01,,,https://1plus1.international/
